iter	Passed	Remaining
0	0	64
1	1	57
2	1	54
3	2	50
4	2	49
5	3	48
6	3	48
7	4	47
8	4	47
9	5	46
10	5	45
11	6	45
12	6	44
13	7	44
14	7	43
15	8	43
16	8	42
17	9	42
18	9	42
19	10	42
20	11	42
21	11	41
22	12	41
23	13	41
24	13	40
25	14	40
26	14	40
27	15	39
28	16	39
29	16	38
30	17	37
31	17	37
32	18	36
33	18	36
34	19	35
35	20	35
36	20	35
37	21	34
38	21	34
39	22	33
40	22	33
41	23	32
42	23	31
43	24	31
44	24	30
45	25	29
46	26	29
47	26	28
48	27	28
49	27	27
50	28	27
51	28	26
52	29	25
53	29	25
54	30	24
55	30	24
56	31	23
57	31	22
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	19
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	40	14
74	40	13
75	41	12
76	41	12
77	42	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
